absolute path,relative path,class label
C:\Users\User\Desktop\copy dataset\bad_0000.txt,bad_0000.txt,bad
C:\Users\User\Desktop\copy dataset\bad_0001.txt,bad_0001.txt,bad
C:\Users\User\Desktop\copy dataset\bad_0002.txt,bad_0002.txt,bad
C:\Users\User\Desktop\copy dataset\bad_0003.txt,bad_0003.txt,bad
C:\Users\User\Desktop\copy dataset\good_0000.txt,good_0000.txt,good
C:\Users\User\Desktop\copy dataset\good_0001.txt,good_0001.txt,good
C:\Users\User\Desktop\copy dataset\good_0002.txt,good_0002.txt,good
C:\Users\User\Desktop\copy dataset\good_0003.txt,good_0003.txt,good
C:\Users\User\Desktop\copy dataset\good_0004.txt,good_0004.txt,good
C:\Users\User\Desktop\copy dataset\good_0005.txt,good_0005.txt,good
C:\Users\User\Desktop\copy dataset\good_0006.txt,good_0006.txt,good
C:\Users\User\Desktop\copy dataset\good_0007.txt,good_0007.txt,good
C:\Users\User\Desktop\copy dataset\good_0008.txt,good_0008.txt,good
C:\Users\User\Desktop\copy dataset\good_0009.txt,good_0009.txt,good
C:\Users\User\Desktop\copy dataset\good_0010.txt,good_0010.txt,good
C:\Users\User\Desktop\copy dataset\good_0011.txt,good_0011.txt,good
C:\Users\User\Desktop\copy dataset\good_0012.txt,good_0012.txt,good
C:\Users\User\Desktop\copy dataset\good_0013.txt,good_0013.txt,good
C:\Users\User\Desktop\copy dataset\good_0014.txt,good_0014.txt,good
C:\Users\User\Desktop\copy dataset\good_0015.txt,good_0015.txt,good
C:\Users\User\Desktop\copy dataset\good_0016.txt,good_0016.txt,good
C:\Users\User\Desktop\copy dataset\good_0017.txt,good_0017.txt,good
C:\Users\User\Desktop\copy dataset\good_0018.txt,good_0018.txt,good
C:\Users\User\Desktop\copy dataset\good_0019.txt,good_0019.txt,good
C:\Users\User\Desktop\copy dataset\good_0020.txt,good_0020.txt,good
C:\Users\User\Desktop\copy dataset\good_0021.txt,good_0021.txt,good
C:\Users\User\Desktop\copy dataset\good_0022.txt,good_0022.txt,good
C:\Users\User\Desktop\copy dataset\good_0023.txt,good_0023.txt,good
C:\Users\User\Desktop\copy dataset\good_0024.txt,good_0024.txt,good
C:\Users\User\Desktop\copy dataset\good_0025.txt,good_0025.txt,good
C:\Users\User\Desktop\copy dataset\good_0026.txt,good_0026.txt,good
C:\Users\User\Desktop\copy dataset\good_0027.txt,good_0027.txt,good
C:\Users\User\Desktop\copy dataset\good_0028.txt,good_0028.txt,good
C:\Users\User\Desktop\copy dataset\good_0029.txt,good_0029.txt,good
