absolute path,relative path,class label
C:\Users\User\Desktop\random\bad_6115.txt,bad_6115.txt,bad
C:\Users\User\Desktop\random\bad_6751.txt,bad_6751.txt,bad
C:\Users\User\Desktop\random\bad_7853.txt,bad_7853.txt,bad
C:\Users\User\Desktop\random\bad_8378.txt,bad_8378.txt,bad
C:\Users\User\Desktop\random\good_0588.txt,good_0588.txt,good
C:\Users\User\Desktop\random\good_0652.txt,good_0652.txt,good
C:\Users\User\Desktop\random\good_0786.txt,good_0786.txt,good
C:\Users\User\Desktop\random\good_2493.txt,good_2493.txt,good
C:\Users\User\Desktop\random\good_2737.txt,good_2737.txt,good
C:\Users\User\Desktop\random\good_2791.txt,good_2791.txt,good
C:\Users\User\Desktop\random\good_3092.txt,good_3092.txt,good
C:\Users\User\Desktop\random\good_3261.txt,good_3261.txt,good
C:\Users\User\Desktop\random\good_3558.txt,good_3558.txt,good
C:\Users\User\Desktop\random\good_4417.txt,good_4417.txt,good
C:\Users\User\Desktop\random\good_4835.txt,good_4835.txt,good
C:\Users\User\Desktop\random\good_5190.txt,good_5190.txt,good
C:\Users\User\Desktop\random\good_5565.txt,good_5565.txt,good
C:\Users\User\Desktop\random\good_6044.txt,good_6044.txt,good
C:\Users\User\Desktop\random\good_6312.txt,good_6312.txt,good
C:\Users\User\Desktop\random\good_6373.txt,good_6373.txt,good
C:\Users\User\Desktop\random\good_6409.txt,good_6409.txt,good
C:\Users\User\Desktop\random\good_6430.txt,good_6430.txt,good
C:\Users\User\Desktop\random\good_6672.txt,good_6672.txt,good
C:\Users\User\Desktop\random\good_6863.txt,good_6863.txt,good
C:\Users\User\Desktop\random\good_6923.txt,good_6923.txt,good
C:\Users\User\Desktop\random\good_8035.txt,good_8035.txt,good
C:\Users\User\Desktop\random\good_8230.txt,good_8230.txt,good
C:\Users\User\Desktop\random\good_9008.txt,good_9008.txt,good
C:\Users\User\Desktop\random\good_9046.txt,good_9046.txt,good
C:\Users\User\Desktop\random\good_9288.txt,good_9288.txt,good
C:\Users\User\Desktop\random\good_9513.txt,good_9513.txt,good
C:\Users\User\Desktop\random\good_9628.txt,good_9628.txt,good
C:\Users\User\Desktop\random\good_9841.txt,good_9841.txt,good
C:\Users\User\Desktop\random\good_9869.txt,good_9869.txt,good
